BASE_DATE,ADM_CD,ADM_NM
"20220630","21050720",가야2동
"20220630","21050740",개금1동
"20220630","21050750",개금2동
"20220630","21050760",개금3동
"20220630","21050770",범천1동
"20220630","21050800",당감1동
"20220630","21050810",가야1동
"20220630","21050820",부전1동
"20220630","21050830",전포1동
"20220630","21050840",범천2동
"20220630","21060510",수민동
"20220630","21060520",복산동
"20220630","21060550",온천1동
"20220630","21060560",온천2동
"20220630","21060570",온천3동
"20220630","21060580",사직1동
"20220630","21060590",사직2동
"20220630","21060600",사직3동
"20220630","21060610",안락1동
"20220630","21060620",안락2동
"20220630","21060630",명장1동
"20220630","21060640",명장2동
"20220630","21060650",명륜동
"20220630","21070530",대연3동
"20220630","21070540",대연4동
"20220630","21070550",대연5동
"20220630","21070560",대연6동
"20220630","21070570",용호1동
"20220630","21070580",용호2동
"20220630","21070590",용호3동
"20220630","21070600",용호4동
"20220630","21070610",용당동
"20220630","21070620",감만1동
"20220630","21070630",감만2동
"20220630","21070660",문현1동
"20220630","21070670",문현2동
"20220630","21070680",문현3동
"20220630","21070690",문현4동
"20220630","21070700",대연1동
"20220630","21070710",우암동
"20220630","21080510",구포1동
"20220630","21080520",구포2동
"20220630","21080530",구포3동
"20220630","21080540",금곡동
"20220630","21080550",화명1동
"20220630","21080560",덕천1동
"20220630","21080570",덕천2동
"20220630","21080580",덕천3동
"20220630","21080590",만덕1동
"20220630","21080600",만덕2동
"20220630","21080610",만덕3동
"20220630","21080620",화명2동
"20220630","21080630",화명3동
"20220630","21090530",중1동
"20220630","21090540",중2동
"20220630","21090560",송정동
"20220630","21090580",반여2동
"20220630","21090590",반여3동
"20220630","21090620",반송2동
"20220630","21090640",재송1동
"20220630","21090650",재송2동
"20220630","21090660",좌1동
"20220630","21090670",좌2동
"20220630","21090680",좌3동
"20220630","21090690",좌4동
"20220630","21090700",반여1동
"20220630","21090710",반여4동
"20220630","21090720",반송1동
"20220630","21090730",우1동
"20220630","21090740",우2동
"20220630","21090750",우3동
"20220630","21100510",괴정1동
"20220630","21100520",괴정2동
"20220630","21100530",괴정3동
"20220630","21100540",괴정4동
"20220630","21100550",당리동
"20220630","21100560",하단1동
"20220630","21100570",하단2동
"20220630","21100580",신평1동
"20220630","21100590",신평2동
"20220630","21100600",장림1동
"20220630","21100610",장림2동
"20220630","21100620",다대1동
"20220630","21100630",다대2동
"20220630","21100640",구평동
"20220630","21100650",감천1동
"20220630","21100660",감천2동
"20220630","21110510",서1동
"20220630","21110520",서2동
"20220630","21110570",부곡1동
"20220630","21110580",부곡2동
"20220630","21110590",부곡3동
"20220630","21110600",부곡4동
"20220630","21110610",장전1동
"20220630","21110640",선두구동
"20220630","21110670",청룡노포동
"20220630","21110680",남산동
"20220630","21110690",구서1동
"20220630","21110700",구서2동
